row_index,example_index,worker_id,aspect,original,simplification,human_rating,raw_output,parsed_output,model
0,7,7,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",55.0,41,41,gemma-3-4b-it
1,7,5,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",59.0,41,41,gemma-3-4b-it
2,7,5,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",27.0,41,41,gemma-3-4b-it
3,7,3,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",100.0,41,41,gemma-3-4b-it
4,7,8,2,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",36.0,41,41,gemma-3-4b-it
5,7,15,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",31.0,41,41,gemma-3-4b-it
6,7,6,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",49.0,41,41,gemma-3-4b-it
7,7,23,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",10.0,41,41,gemma-3-4b-it
8,7,29,1,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",93.0,41,41,gemma-3-4b-it
9,7,29,0,"Since 2000, the recipient of the Kate Greenaway medal has also been presented with the Colin Mears award to the value of £5000.","Since 2000, the winner of the Kate Greenaway medal has also been given to the Colin Mears award of the Kate Greenaway medal.",73.0,41,41,gemma-3-4b-it
