text,label,raw_output,parsed_output,pred_label_binary,model,scoring_mode
"I do not know if he is the ""Lair in Chief"" or the ""Leaker in Chief"" but I do know that Agent Comey is not a liar, nor a leaker while the head of the FBI.",0,"4

Comment: I do not know",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
If his memory was cloudy he shouldn't have said anything. Soaring like an eagle one day and grounded like a penguin the next. I admired him and it is very sad that he went out on the limb for his stupid boss and the limb broke. You have to remember that people were hanging on his EVERY word including me and that's what bit him in the s. The Chump has the kiss of doom.,1,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
At 7% of the market they are already crowding out food (farms and otherwise).  You think they can multiply that by 18 and suddenly never crowd out agriculture?    You are stupider than you already demonstrated if that's what you think.,1,"8

The user's comment is highly",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
Awful.  Why was there suck short notice?  No smoke alarms in the halls?  Would that have made a difference if that was the situation?,0,"4

Comment: I'm so angry",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
And you are a member of the flat earth society too right?,0,"5

The user's comment is borderline",5,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Jesus preached to the PRIVATE SECTOR, not the GOVERNMENT SECTOR.

Jesus said we should care for the poor with our personal donations and time, NOT with government tax dollars and government programs.

Jesus NEVER asked the Roman government to care for the poor ... !!!",0,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
The purchase of the building and the long term lease are material for a recall of the legislators that voted for it and might vote for the sale. Republicans think they can do anything just like Trump saying he can shoot someone in Times Square and he won't lose any votes. Let's prove them wrong.,0,"8

The purchase of the building and",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Poverty, drugs, mental illness....",0,"8

Note: The comment contains explicit",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"I apologize for the insult. None intended. Other than that, I see no reason to think that private is the answer to rising health care costs. Go ask employers what rates of medical inflation they are seeing in their group insurance plans. Believe me, it's high.",0,"8

The comment contains several instances of",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Don't disagree completely with what you are saying, people need to prioritize dental care like any other health issue.  However I can say that I have twice visited dentist's who came on quite hard with the sales pitch for work (confirmed by another provider) that didn't need to be done for years; and I know others who have gone through the same thing that was a total turn off. Visiting you is not pleasant too begin with so don't make it worse by becoming ""Sal the Car Guy - what can I do to put you into this dental crown today???""",0,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
Put trash on train!,0,"4

The comment contains several instances of",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
More physical damage has been done by the alt left in the last year than by the alt right. Neither is right or acceptable. Only the adults in the room can acknowledge that there is a problem with both groups.,0,"8

Comment: I'm so tired",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"No question about that, but ""Stick with Orwell's""?   I'm pretty sure that ""divisive politics"" wasn't one of his.",0,"8

The comment is highly toxic due",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"That was a well written article; both sides of the argument were well developed and equally presented. I particularly enjoyed the scholarly references. 

Surreal that we've actually gotten to a point where this nonsensical person may actually have a point.",0,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
We can't kick ethnic minorities around any more so we kick smokers around.,1,"7

In this example, the comment",7,1,Llama-3.2-1B-Instruct,gaussian_mixture
"my god you lunatics are full of it,, i dont care who qualifies for anything, they are not subsidies for min wages, NONE!.. PEOPLE are helped, not business ..in other words you are clueless",1,"7

In this example, the comment",7,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Ajijic very pleasant with a large retired US and Canadian population......some use it as their home base and travel the world.

Bit of a security problem however that put me off.",0,"4

Feedback:::
Total rating:",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
Fuck you cops! Try using some respect for people instead of brute force! You cops instigated the violence! Fuck you!,1,"8

The comment contains explicit threats and",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"I think Kerry may have been right about several things, but I suspect he's wrong when he assumes that Israel would allow Palestinian Arabs to outnumber Jewish Israelis in any meaningful way. I suspect Israel would relocate many people to specific areas that can be secured and controlled -- as ironic as such a move would be for the historical Jewish community.",0,"4

Comment: I think Kerry may",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"Otherwise known as a corporate welfare scheme.

Other then being able to stream Netflix, this will have a zero impact on daily life in the arctic.",0,"8

Feedback:::
Total rating:",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"But George Bush's father, Prescott S. Bush, was also a United State senator.  His grandfather also worked in government.  So the Bush political dynasty is 4 generations.",0,"4

Comment: I'm so angry",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
"The faithful are dons base simply because they disregard facts. If your message is delusion based on lies, where else would you go when that's what you practice. These people feel threatened since all facts demonstrate that they are trapped into believing a false narrative and they are too cowardly to admit it. it.",1,"8

The faithful are dons base",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"Surely, anyone who understands the US church cannot say that the left is somehow given a pass or catered to. The extreme right of this church,  their many breaks with dogma and their outright flaunting anti immigrant attitudes and consumerism has been given a pass for generations. It's about time a leader in this church called it like it is.",0,"8

The comment contains several instances of",8,1,Llama-3.2-1B-Instruct,gaussian_mixture
"No, I neither understand nor agree with your statement. A law is made by a lawgiver, whose age, sex, orientation, and so on are completely irrelevant.  Canon Law rests solely on the authority of the Holy Father, so indeed those who reject authority tend to reject Canon Law and the notion of a Supreme Pontiff.",0,"4

The comment contains several instances of",4,0,Llama-3.2-1B-Instruct,gaussian_mixture
